Business Name,Category,Phone Number,City/Address,Google Maps Link,Website,Audit Issues,Audit Status,Sales Angle,Business Email,Tech Stack
Wetherill Park Metal Fabrications,Metal fabricator,+61 2 9756 6228 ,"21 Bond Cres, Wetherill Park NSW 2164, Australia ","https://www.google.com/maps/place/Mario+and+Sons+Steel+Fabrication/@-33.8441357,150.8890172,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Wetherill+Park!3m6!1s0x6b1297175bbcb73d:0x5caa86168e514f44!8m2!3d-33.8375015!4d150.8887481!15sCiBTdGVlbCBGYWJyaWNhdGlvbiBXZXRoZXJpbGwgUGFya5IBEHN0ZWVsX2ZhYnJpY2F0b3LgAQA!16s%2Fg%2F1vs1s0h_?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",http://wpmetalfab.com.au/,Site Error: HTTPConnectionPool,Bad (Map Link),Website needs modernization., Not Found,HTML
JAJ Steel Fabrication,Steel fabricator,+61 2 9609 6533 ,"4 Wenban Pl, Wetherill Park NSW 2164, Australia ","https://www.google.com/maps/place/Wetherill+Park+Metal+Fabrications/@-33.8503337,150.8425,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Wetherill+Park!3m6!1s0x6b1296de8ffa19c7:0x3d29960a6a36632b!8m2!3d-33.8503337!4d150.8806088!15sCiBTdGVlbCBGYWJyaWNhdGlvbiBXZXRoZXJpbGwgUGFya5IBEG1ldGFsX2ZhYnJpY2F0b3LgAQA!16s%2Fg%2F1tdfhv8s?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",https://www.jajsteel.com.au/,Not Mobile Friendly,Bad (Map Link),Over 60% of users can't use this site properly., Not Found,HTML
Honina Fabrication,Metal fabricator,No Phone,"22 Hargraves Pl, Wetherill Park NSW 2164, Australia ","https://www.google.com/maps/place/Steel+Power+International/@-33.8488022,150.8482731,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Wetherill+Park!3m6!1s0x6b129723ae8086a9:0xfb9108f0f8d12cb8!8m2!3d-33.8369539!4d150.8980576!15sCiBTdGVlbCBGYWJyaWNhdGlvbiBXZXRoZXJpbGwgUGFya1oiIiBzdGVlbCBmYWJyaWNhdGlvbiB3ZXRoZXJpbGwgcGFya5IBEXN0ZWVsX2Rpc3RyaWJ1dG9ymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4wTW5KRVdqTlJSUkFC4AEA-gEECAAQFQ!16s%2Fg%2F11cltfprxj?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",http://honinafabrication.com.au/,Site Error: HTTPConnectionPool,Bad (Map Link),Website needs modernization., Not Found,HTML
JP Metalworks,Welder,+61 403 140 328 ,"2/8 Metters Pl, Wetherill Park NSW 2164, Australia ","https://www.google.com/maps/place/Topline+Fabrications+PTY+LTD/@-33.8498712,150.8476258,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Wetherill+Park!3m6!1s0x6b1297a517f5d9b1:0x58ed231a7c9534b!8m2!3d-33.841027!4d150.913863!15sCiBTdGVlbCBGYWJyaWNhdGlvbiBXZXRoZXJpbGwgUGFya5IBEG1ldGFsX2ZhYnJpY2F0b3LgAQA!16s%2Fg%2F11sb9s83np?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",http://www.jpmetalworks.com.au/,Not Secure (No HTTPS); Slow Load Time (3.15s),Bad (Map Link),Trust issue – visitors bounce before calling.,jack@jpmetalworks.com.au,WordPress
Capital Steel,Steel construction company,+61 2 8071 4398 ,"235 Newton Rd, Wetherill Park NSW 2164, Australia ","https://www.google.com/maps/place/G.A+Fabrication/@-33.9099585,150.8175994,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Wetherill+Park!3m6!1s0x6b12930066d7f2df:0xe48287803c657c67!8m2!3d-33.9099585!4d150.8557082!15sCiBTdGVlbCBGYWJyaWNhdGlvbiBXZXRoZXJpbGwgUGFya1oiIiBzdGVlbCBmYWJyaWNhdGlvbiB3ZXRoZXJpbGwgcGFya5IBEG1ldGFsX2ZhYnJpY2F0b3KaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhMW90YUdWUkVBReABAPoBBAhGEDs!16s%2Fg%2F11rc02m9x5?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",https://www.capitalsteel.com.au/home,Slow Load Time (3.36s); Not Mobile Friendly,Bad (Map Link),Over 60% of users can't use this site properly., Not Found,HTML
BSP Engineering,Steel fabricator,+61 3 8786 3253 ,"21-25 Villas Rd, Dandenong South VIC 3175, Australia ","https://www.google.com/maps/place/Genuine+Steel/@-38.0221473,145.1737445,13z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Dandenong+South!3m6!1s0x6ad613f0962cb1d3:0x77038b7b4caf8b8!8m2!3d-37.9970939!4d145.2146909!15sCiFTdGVlbCBGYWJyaWNhdGlvbiBEYW5kZW5vbmcgU291dGhaIyIhc3RlZWwgZmFicmljYXRpb24gZGFuZGVub25nIHNvdXRokgERc3RlZWxfZGlzdHJpYnV0b3KaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVTjNPVGRoWmxOUkVBReABAPoBBAgAEB4!16s%2Fg%2F11g0j9z02z?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",https://www.bspengineering.com.au/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB,Slow Load Time (17.17s),Bad (Map Link),Slow load kills conversions and rankings.,sales@bspengineering.com.au,WordPress
MKM Structural Steel,Steel fabricator,+61 3 9791 8008 ,"27 Bazalgette Cres, Dandenong South VIC 3175, Australia ","https://www.google.com/maps/place/SSAF+Engineering/@-38.0221473,145.1737445,13z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Dandenong+South!3m6!1s0x6ad6130c5d4dace7:0xba2a80429117989c!8m2!3d-38.031546!4d145.203211!15sCiFTdGVlbCBGYWJyaWNhdGlvbiBEYW5kZW5vbmcgU291dGiSARBzdGVlbF9mYWJyaWNhdG9y4AEA!16s%2Fg%2F11nh50mcdm?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",http://mkmstructural.com.au/,Not Secure (No HTTPS); Slow Load Time (12.75s),Bad (Map Link),Trust issue – visitors bounce before calling.,mkm@mkmstructural.com.au,HTML
Uppal Steel Group | Structural Steel Supply & Install | Structural Steel Fabrication Specialist Melbourne,Steel fabricator,+61 3 9706 6771 ,"55 Indian Dr, Keysborough VIC 3173, Australia ","https://www.google.com/maps/place/Luxury+metal+engineering/@-38.0221473,145.1737445,13z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Dandenong+South!3m6!1s0x6ad613bd727f2e33:0x44ba5b0535658e5c!8m2!3d-38.035807!4d145.2016136!15sCiFTdGVlbCBGYWJyaWNhdGlvbiBEYW5kZW5vbmcgU291dGiSARBtZXRhbF9mYWJyaWNhdG9y4AEA!16s%2Fg%2F11swr181cv?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",https://www.uppalsteel.com.au/,Slow Load Time (17.58s),Bad (Map Link),Slow load kills conversions and rankings., Not Found,WordPress
Structural Challenge Pty Ltd,Steel fabricator,+61 3 9768 2020 ,"20-26 Produce Dr, Dandenong South VIC 3175, Australia ","https://www.google.com/maps/place/Precise+Metal+Workers/@-38.0221473,145.1737445,13z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Dandenong+South!3m6!1s0x6ad613e83030e2eb:0x85d766cc7d2df3a5!8m2!3d-38.00969!4d145.2110739!15sCiFTdGVlbCBGYWJyaWNhdGlvbiBEYW5kZW5vbmcgU291dGhaIyIhc3RlZWwgZmFicmljYXRpb24gZGFuZGVub25nIHNvdXRokgEQbWV0YWxfZmFicmljYXRvcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOZmVYUlBiR3RSUlJBQuABAPoBBAh7EEE!16s%2Fg%2F1tdg7ych?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",http://www.structuralchallenge.com.au/,Not Secure (No HTTPS),Bad (Map Link),Trust issue – visitors bounce before calling.,info@structuralchallenge.com.au,WordPress
Culpan Industries PTY Ltd.,Laser cutting service,+61 3 9357 8343 ,"9-13 Jesica Rd, Campbellfield VIC 3061, Australia ","https://www.google.com/maps/place/Dennis+Brothers+Welding/@-37.6597484,144.9225607,14z/data=!4m10!1m2!2m1!1sSteel+Fabrication+Campbellfield!3m6!1s0x6ad64ab72a66cce1:0xcdbe9f18585ea233!8m2!3d-37.6632397!4d144.965787!15sCh9TdGVlbCBGYWJyaWNhdGlvbiBDYW1wYmVsbGZpZWxkWiEiH3N0ZWVsIGZhYnJpY2F0aW9uIGNhbXBiZWxsZmllbGSSARBjb3Jwb3JhdGVfb2ZmaWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwb2VVNTZRbkpQUlhRMlkwUktabUV5VG14TlJ6RjVVM3BGZW1WWVl4QULgAQD6AQQIABAk!16s%2Fg%2F11cmzz9v8m?entry=ttu&g_ep=EgoyMDI2MDEyOC4wIKXMDSoASAFQAw%3D%3D",https://culpanindustries.com.au/,Slow Load Time (23.54s),Bad (Map Link),Slow load kills conversions and rankings., Not Found,WordPress
